"Gene","group","Sample","Expression","is.outlier"
"Ighv1-52","Control","CC1643L",0,NA
"Ighv1-52","Control","CC1699R",0,NA
"Ighv1-52","Control","CC2968R",0,NA
"Ighv1-52","Control","CC3441L",1,NA
"Ighv1-52","Ctrl_HFHS","CC1752LR",26,NA
"Ighv1-52","Ctrl_HFHS","CC1867R",0,NA
"Ighv1-52","Ctrl_HFHS","CC3445R",14,NA
"Ighv1-52","Ctrl_HFHS","CC4056R",2,NA
"Ighv1-52","Ctrl_HFHS","CC4057LR",2,NA
"Ighv1-52","Lact_HFHS","CC2962LR",5,NA
"Ighv1-52","Lact_HFHS","CC3772L",13,NA
"Ighv1-52","Lact_HFHS","CC3774LR",7,NA
"Ighv1-52","Lact_HFHS","CC4164L",0,NA
"Ighv1-52","Lact_HFHS","CC4272LR",0,NA
"Ighv1-52","Lactation","CC2017LL",0,NA
"Ighv1-52","Lactation","CC2565R",0,NA
"Ighv1-52","Lactation","CC2566LR",0,NA
"Ighv1-52","Lactation","CC4007LR",0,NA
"Ighv1-52","Lactation","CC4113L",0,NA
"Ighv1-52","Lactation","CC4114R",1,NA
"Ighv1-52","Postweaning","CC2148R",52,NA
"Ighv1-52","Postweaning","CC3920LR",0,NA
"Ighv1-52","Postweaning","CC4058L",0,NA
"Ighv1-52","Pw_HFHS","CC2379LR",5,NA
"Ighv1-52","Pw_HFHS","CC2381RR",0,NA
"Ighv1-52","Pw_HFHS","CC2508R",0,NA
"Ighv1-52","Pw_HFHS","CC2559L",3,NA
"Ighv1-52","Pw_HFHS","CC2560R",0,NA
"Ighv1-42","Control","CC1643L",0,NA
"Ighv1-42","Control","CC1698L",0,NA
"Ighv1-42","Control","CC2968R",0,NA
"Ighv1-42","Control","CC3441L",0,NA
"Ighv1-42","Ctrl_HFHS","CC1752LR",8,NA
"Ighv1-42","Ctrl_HFHS","CC1867R",0,NA
"Ighv1-42","Ctrl_HFHS","CC3445R",10,NA
"Ighv1-42","Ctrl_HFHS","CC4056R",1,NA
"Ighv1-42","Ctrl_HFHS","CC4057LR",0,NA
"Ighv1-42","Lact_HFHS","CC2962LR",0,NA
"Ighv1-42","Lact_HFHS","CC3772L",0,NA
"Ighv1-42","Lact_HFHS","CC3774LR",0,NA
"Ighv1-42","Lact_HFHS","CC4164L",0,NA
"Ighv1-42","Lact_HFHS","CC4272LR",0,NA
"Ighv1-42","Lactation","CC2017LL",1,NA
"Ighv1-42","Lactation","CC2566LR",0,NA
"Ighv1-42","Lactation","CC4006R",0,NA
"Ighv1-42","Lactation","CC4007LR",0,NA
"Ighv1-42","Lactation","CC4113L",0,NA
"Ighv1-42","Lactation","CC4114R",3,NA
"Ighv1-42","Postweaning","CC2148R",56,NA
"Ighv1-42","Postweaning","CC3920LR",0,NA
"Ighv1-42","Postweaning","CC4058L",1,NA
"Ighv1-42","Pw_HFHS","CC2381RR",0,NA
"Ighv1-42","Pw_HFHS","CC2508R",0,NA
"Ighv1-42","Pw_HFHS","CC2559L",0,NA
"Ighv1-42","Pw_HFHS","CC2560R",0,NA
"Ighv1-12","Control","CC1643L",0,NA
"Ighv1-12","Control","CC1698L",0,NA
"Ighv1-12","Control","CC1699R",0,NA
"Ighv1-12","Control","CC2968R",0,NA
"Ighv1-12","Control","CC3441L",0,NA
"Ighv1-12","Ctrl_HFHS","CC1752LR",34,NA
"Ighv1-12","Ctrl_HFHS","CC1867R",0,NA
"Ighv1-12","Ctrl_HFHS","CC3445R",14,NA
"Ighv1-12","Ctrl_HFHS","CC4056R",0,NA
"Ighv1-12","Ctrl_HFHS","CC4057LR",0,NA
"Ighv1-12","Lact_HFHS","CC2962LR",0,NA
"Ighv1-12","Lact_HFHS","CC3774LR",0,NA
"Ighv1-12","Lact_HFHS","CC4164L",0,NA
"Ighv1-12","Lact_HFHS","CC4272LR",2,NA
"Ighv1-12","Lactation","CC2017LL",0,NA
"Ighv1-12","Lactation","CC2565R",0,NA
"Ighv1-12","Lactation","CC2566LR",0,NA
"Ighv1-12","Lactation","CC4007LR",4,NA
"Ighv1-12","Lactation","CC4113L",0,NA
"Ighv1-12","Lactation","CC4114R",5,NA
"Ighv1-12","Postweaning","CC2148R",2,NA
"Ighv1-12","Postweaning","CC3920LR",0,NA
"Ighv1-12","Postweaning","CC4058L",0,NA
"Ighv1-12","Pw_HFHS","CC2379LR",0,NA
"Ighv1-12","Pw_HFHS","CC2508R",0,NA
"Ighv1-12","Pw_HFHS","CC2559L",0,NA
"Ighv1-12","Pw_HFHS","CC2560R",0,NA
